created_at,twitter_id,screen_name,followers_count,friends_count,favorite_count/like_count,retweet_count,hashtags,mentions,in_reply_to_screen_name,twitter_url,text,is_retweet,is_quote,coordinates,url1,url1_expanded,url2,url2_expanded,media_url
2016-09-27 00:38:40+00:00,780567298377560064,SoleShoeMan,403,800,0,0,"debatenight, Debates2016",TEN_GOP,,http://twitter.com/SoleShoeMan/status/780567298377560064,RT @TEN_GOP: I want EVERY African-American to watch this leaked video and realize how arrogant Hillary is. #debatenight #Debates2016 https:…,Yes,No,,,,,,
2016-09-27 00:41:35+00:00,780568031990689792,ShellyLeigh123,3833,1695,0,0,debatenight,,,http://twitter.com/ShellyLeigh123/status/780568031990689792,Hillary now arrives...Trump has been there an hour before her. #debatenight,No,No,,,,,,
2016-09-27 00:43:45+00:00,780568577107648512,Sharp_Trident,616,410,0,0,,michellemalkin,,http://twitter.com/Sharp_Trident/status/780568577107648512,RT @michellemalkin: All Free Speech Zones Matter https://t.co/tdTGbsTfD4,Yes,Yes,,https://t.co/tdTGbsTfD4,https://twitter.com/giobenitez/status/780567311006720000,,,
2016-09-27 00:44:36+00:00,780568791453470720,KrisLavoie,62,122,0,0,debatenight,PhillyD,,http://twitter.com/KrisLavoie/status/780568791453470720,RT @PhillyD: Before #debatenight poll.  As of right now who are you planning on voting to be the next President?,Yes,No,,,,,,
2016-09-27 00:46:03+00:00,780569156525654016,DesignsofWine,3825,3945,0,0,,"MSNBC, NBCNews",,http://twitter.com/DesignsofWine/status/780569156525654016,"RT @MSNBC: .@NBCNews  poll: In a two-way match-up, Hillary Clinton has a 7-point advantage over Donald Trump https://t.co/PoFj04yYbK #debat…",Yes,No,,https://t.co/PoFj04yYbK,http://nbcnews.to/2dlQXtn,,,
2016-09-27 00:46:27+00:00,780569257830514688,Lionessinus,1263,2816,0,0,debatenight,Luvvie,,http://twitter.com/Lionessinus/status/780569257830514688,RT @Luvvie: I'm pretty sure I'm gonna wanna jump out a first floor window at the end of tonight. #debatenight,Yes,No,,,,,,
2016-09-27 00:46:54+00:00,780569370443546624,Meeeedge,1990,418,0,0,"Debates, HillarysEmails, Crooked",LindaSuhler,,http://twitter.com/Meeeedge/status/780569370443546624,RT @LindaSuhler: Pre-Debate Bombshell: Six Biggest Revelations In New Documents On Clinton Emails #Debates #HillarysEmails #Crooked https:/…,Yes,No,,,,,,
2016-09-27 00:51:23+00:00,780570498023305216,maritosan2,50,95,0,0,debate,DiarioLaPrensa,,http://twitter.com/maritosan2/status/780570498023305216,RT @DiarioLaPrensa: El #debate de esta noche se espera que sea el más visto de la historia https://t.co/kdUJhc4n1H,Yes,No,,https://t.co/kdUJhc4n1H,http://www.laprensa.hn/mundo/1003506-410/un-millonario-y-dos-generales-entre-invitados-al-debate-clinton-trump,,,
2016-09-27 00:51:42+00:00,780570575307583489,JMofOZ,185,249,0,0,,notaxation,,http://twitter.com/JMofOZ/status/780570575307583489,RT @notaxation: Tune in to tonight's debate to witness the ramblings of two people who have no business being President of the United State…,Yes,No,,,,,,
2016-09-27 00:52:39+00:00,780570817138614273,NotMe77,562,1357,0,0,debatenight,,,http://twitter.com/NotMe77/status/780570817138614273,Live Look-in #debatenight https://t.co/7KXyrsfepc,No,No,,,,,,http://pbs.twimg.com/media/CtUk_JEUkAAoFRf.jpg
2016-09-27 00:53:29+00:00,780571026908471300,1Burtman,42,105,0,0,,,,http://twitter.com/1Burtman/status/780571026908471300,I knew she would wear communist red. Mao would be proud of her. https://t.co/38YCoObiym,No,Yes,,https://t.co/38YCoObiym,https://twitter.com/NBCNews/status/780570309321601024,,,
2016-09-27 00:53:34+00:00,780571047867346944,NightWatchRem,94,319,0,0,debatenight,SheWhoVotes,,http://twitter.com/NightWatchRem/status/780571047867346944,"RT @SheWhoVotes: Trump's been endorsed by ISIS, the KKK &amp; Kim Jong-un but not his business partners or any top CEOs. #debatenight https://t…",Yes,No,,,,,,
